gene,¦Â2AR-APEX2(BI167107),DOR-APEX2,CCDC68,CCDC120,LiMoCentrosome,Endosomal-APEX2,AT1R-APEX2(AngII),AT1R-APEX2(TRV027)
O00411,0,0,1,1,0,0,0,0
O00418,1,0,0,0,0,0,0,0
O00422,0,1,0,1,0,1,1,1
O00425,1,1,1,1,0,1,1,1
O00429,1,1,1,1,1,1,0,0
O00442,0,0,1,1,1,0,0,0
O00443,1,1,1,1,1,1,0,1
O00458,1,0,0,1,0,0,0,0
O00459,1,1,0,0,0,1,0,0
O00461,1,0,0,1,0,0,0,0
O00462,1,0,0,0,0,0,0,0
O00468,1,1,0,0,0,0,0,0
O00469,1,0,1,1,0,0,0,0
O00471,1,0,0,0,0,0,0,0
O00478,1,0,0,0,0,0,0,0
O00479,0,0,0,0,0,0,1,1
O00483,0,0,0,0,1,0,1,1
O00487,0,1,1,1,1,1,0,0
O00488,0,0,0,0,0,0,0,1
O00505,1,1,0,1,1,1,0,0
O00522,1,0,0,0,0,0,0,0
O00541,1,1,1,1,1,1,1,1
O00560,1,0,1,1,0,0,0,0
O00566,0,0,0,1,0,0,1,1
O00567,1,1,1,1,1,1,1,1
O00571,1,1,1,1,1,1,1,1
O00584,1,0,0,0,0,0,0,0
O00592,1,0,0,0,0,0,1,1
O00622,1,0,0,1,0,0,0,0
O00625,0,0,1,0,0,0,0,0
O00629,1,1,0,1,0,1,0,1
O00635,0,0,1,0,0,0,0,0
O00712,0,0,0,1,0,0,0,0
O00743,1,0,1,1,1,0,0,1
O00748,1,0,0,0,0,0,0,0
O00754,1,0,0,0,0,0,0,0
O00762,1,0,0,0,0,0,0,0
O00763,1,0,1,0,0,0,1,1
O00764,0,0,1,1,0,0,0,0
O00767,1,0,1,1,1,0,1,1
O14495,1,0,0,0,0,0,0,0
O14497,1,0,0,1,0,0,0,0
O14524,1,0,0,1,0,0,0,0
O14525,1,1,0,0,0,1,0,0
O14530,0,1,0,1,0,1,0,0
O14531,0,0,1,0,1,0,0,0
O14543,0,0,1,0,0,0,0,0
O14544,1,0,0,0,0,0,0,0
O14545,1,1,1,1,1,1,0,0
O14556,0,0,1,1,0,0,0,0
O14559,0,0,1,0,0,0,0,0
O14562,1,0,1,0,1,0,0,0
O14578,0,1,0,0,0,1,0,0
O14579,0,1,1,1,0,1,0,0
O14602,0,0,0,1,0,0,0,0
O14617,1,1,1,1,1,1,1,1
O14618,0,0,1,0,0,0,0,0
O14639,1,1,0,1,0,1,1,1
O14640,1,0,0,0,0,0,0,0
O14641,1,1,1,1,1,1,0,0
O14646,0,0,0,1,0,0,0,1
O14654,1,0,1,0,0,0,1,1
O14656,1,0,0,0,0,0,0,0
O14657,1,0,0,0,0,0,0,0
O14662,0,1,0,0,0,0,0,0
O14668,0,0,0,1,0,0,0,0
O14672,1,0,0,0,0,0,0,1
O14681,0,0,0,1,1,0,0,0
O14683,0,1,0,0,0,0,0,0
O14727,0,0,1,0,0,0,0,0
O14730,1,0,0,0,0,0,0,0
O14732,0,0,0,1,0,0,0,0
O14733,0,0,1,0,0,0,0,0
O14734,0,0,1,1,1,0,0,0
O14735,0,0,0,1,1,0,0,0
O14737,1,1,0,0,1,1,1,1
O14744,1,1,1,1,1,1,0,0
O14745,1,1,0,1,0,1,1,1
O14757,0,1,1,0,0,1,0,0
O14772,0,0,1,0,0,0,0,0
O14773,1,0,0,0,0,0,0,0
O14776,0,0,1,1,0,0,1,1
O14777,1,0,0,1,1,0,0,0
O14786,1,0,0,0,0,0,1,0
O14795,1,0,0,0,0,0,0,0
O14802,0,1,1,0,1,0,0,0
O14817,1,0,0,0,0,0,0,0
O14818,1,0,1,1,1,0,0,1
O14827,0,0,1,0,0,0,0,0
O14828,1,1,1,1,1,1,1,1
O14867,1,1,0,0,0,1,0,0
O14874,0,0,1,1,0,0,0,0
O14879,0,0,0,1,0,0,0,0
O14880,0,1,0,0,1,1,0,0
O14893,0,0,0,1,0,0,0,0
O14907,1,0,0,0,0,0,1,1
O14908,1,0,1,1,0,0,0,1
O14910,0,0,1,0,0,0,0,0
O14925,0,0,0,0,1,0,0,0
O14929,0,1,1,0,1,1,0,0
O14936,1,1,1,0,0,1,1,1
